,Transaction,Date,Price
405,Buy,2005-10-31,120.65499877929688
406,Buy,2005-11-25,121.3550033569336
407,Buy,2005-12-19,130.78500366210938
408,Buy,2005-12-21,129.86000061035156
409,Buy,2006-02-02,149.6300048828125
410,Buy,2006-02-21,151.88499450683594
411,Buy,2006-04-17,180.63499450683594
412,Buy,2006-05-02,179.9199981689453
413,Buy,2006-05-22,147.10000610351562
414,Buy,2006-05-26,146.8249969482422
415,Buy,2006-06-20,129.10499572753906
416,Buy,2006-07-13,115.26000213623047
417,Buy,2006-07-31,109.56500244140625
418,Buy,2006-08-02,109.5199966430664
419,Buy,2006-09-14,110.01000213623047
420,Buy,2006-09-18,111.44000244140625
421,Buy,2006-09-29,111.3949966430664
422,Buy,2006-11-27,111.47000122070312
423,Buy,2006-12-12,110.04499816894531
424,Buy,2006-12-14,115.31500244140625
425,Buy,2007-01-09,109.54499816894531
426,Buy,2007-02-06,116.16500091552734
427,Buy,2007-03-26,126.55500030517578
428,Buy,2007-03-30,125.44499969482422
429,Buy,2007-04-09,123.80500030517578
430,Buy,2007-04-12,123.88500213623047
431,Buy,2007-06-21,152.22000122070312
432,Buy,2007-07-31,170.77999877929688
433,Buy,2007-08-14,164.23500061035156
434,Buy,2007-09-03,161.85000610351562
435,Buy,2007-09-25,148.0449981689453
436,Buy,2007-10-09,145.50999450683594
437,Buy,2007-10-22,140.02000427246094
438,Buy,2007-10-24,148.0500030517578
439,Buy,2007-11-27,151.64500427246094
440,Buy,2007-12-05,151.4600067138672
441,Buy,2007-12-13,150.94500732421875
442,Buy,2007-12-28,146.55999755859375
443,Buy,2008-01-22,148.63499450683594
444,Buy,2008-02-15,139.05999755859375
445,Buy,2008-03-10,137.46499633789062
446,Buy,2008-03-31,132.35000610351562
447,Buy,2008-04-16,130.55999755859375
448,Buy,2008-04-22,132.01499938964844
449,Buy,2008-05-29,145.2100067138672
450,Buy,2008-06-26,143.7899932861328
451,Buy,2008-07-25,136.27499389648438
