Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Strategy,RiskProfile
2025-09-09,1029681.1947889794,0.010249664526970959,0.0004,0.00984966452697096,0.4,20,XGB_Risk,conservative
2025-09-16,1018021.6540225788,-0.009723447320789336,0.0015999999999999999,-0.011323447320789336,1.5999999999999999,20,XGB_Risk,conservative
2025-09-23,992894.4031927561,-0.023082432569617395,0.0015999999999999999,-0.024682432569617396,1.5999999999999999,20,XGB_Risk,conservative
2025-09-30,1033663.0277244307,0.04226038305843893,0.0012,0.04106038305843893,1.2,20,XGB_Risk,conservative
2025-10-08,1044534.3779122732,0.011717305830097668,0.0012000000000000001,0.010517305830097669,1.2000000000000002,20,XGB_Risk,conservative
2025-10-15,1065310.4716047843,0.02149029191555818,0.0016000000000000012,0.01989029191555818,1.6000000000000012,20,XGB_Risk,conservative
2025-10-23,1065068.4863189908,0.0009728499885774955,0.0012000000000000001,-0.00022715001142250462,1.2000000000000002,20,XGB_Risk,conservative
2025-10-30,1029748.1429930358,-0.031562509058949306,0.0015999999999999996,-0.033162509058949304,1.5999999999999996,20,XGB_Risk,conservative
2025-11-07,1077995.57877932,0.0480197339002586,0.0011661065209952084,0.04685362737926339,1.1661065209952084,20,XGB_Risk,conservative
2025-11-14,1085484.9930066539,0.008147537053736942,0.0012000000000000001,0.006947537053736942,1.2000000000000002,20,XGB_Risk,conservative
2025-11-21,1094128.3983002824,0.008762712842014908,0.0008,0.007962712842014908,0.8,20,XGB_Risk,conservative
2025-11-28,1094668.7326422126,0.0016938491156701652,0.0012000000000000001,0.000493849115670165,1.2000000000000002,20,XGB_Risk,conservative
2025-12-05,1081189.8217781018,-0.01111323272710707,0.0012000000000000001,-0.01231323272710707,1.2000000000000002,20,XGB_Risk,conservative
2025-12-12,1078639.8962793886,-0.0015584438618925223,0.0008000000000000004,-0.0023584438618925226,0.8000000000000004,20,XGB_Risk,conservative
2025-01-01,1014945.5126197067,0.01594551261970656,0.001,0.014945512619706558,1.0,20,XGB_Risk,moderate
2025-01-08,994112.2811218863,-0.01932645313347614,0.0012,-0.02052645313347614,1.2,20,XGB_Risk,moderate
2025-01-15,981548.3862210165,-0.011038305691879247,0.0015999999999999999,-0.012638305691879247,1.5999999999999999,20,XGB_Risk,moderate
2025-01-22,953402.1465257852,-0.027475346106568432,0.0012000000000000008,-0.028675346106568432,1.2000000000000006,20,XGB_Risk,moderate
2025-01-29,1000397.3879412842,0.05049214978878602,0.0012,0.04929214978878602,1.2,20,XGB_Risk,moderate
2025-02-04,957909.6352048973,-0.04167087532267788,0.0008000000000000001,-0.04247087532267788,0.8000000000000002,20,XGB_Risk,moderate
2025-02-11,946252.2796509285,-0.010969577510800743,0.0012000000000000001,-0.012169577510800743,1.2000000000000002,20,XGB_Risk,moderate
2025-02-18,933324.6336494547,-0.012861944366720834,0.0008000000000000001,-0.013661944366720835,0.8000000000000002,20,XGB_Risk,moderate
2025-02-25,932517.1760946665,0.0003348588415255094,0.0012,-0.0008651411584744905,1.2,20,XGB_Risk,moderate
2025-03-05,940720.8249327627,0.009197316605419115,0.0003999999999999999,0.008797316605419115,0.3999999999999999,20,XGB_Risk,moderate
2025-03-12,958337.252938172,0.0195265207046611,0.0007999999999999999,0.0187265207046611,0.7999999999999999,20,XGB_Risk,moderate
2025-03-21,972336.1269146566,0.0158074609262715,0.0012,0.0146074609262715,1.2,20,XGB_Risk,moderate
2025-03-28,937160.1014004863,-0.0353768163708863,0.0008000000000000009,-0.0361768163708863,0.8000000000000008,20,XGB_Risk,moderate
2025-04-07,983832.3404908235,0.05140177775450594,0.0015999999999999999,0.04980177775450594,1.5999999999999999,20,XGB_Risk,moderate
2025-04-16,1019004.5728627585,0.036950229916601574,0.0012000000000000008,0.035750229916601574,1.2000000000000006,20,XGB_Risk,moderate
2025-04-24,1021225.4241444619,0.0037794321054558377,0.0016000000000000007,0.002179432105455837,1.6000000000000005,20,XGB_Risk,moderate
2025-05-02,1021714.6767365559,0.001279083834505812,0.0008000000000000004,0.0004790838345058116,0.8000000000000003,20,XGB_Risk,moderate
2025-05-09,1041699.72851766,0.021160306058182643,0.0015999999999999999,0.019560306058182642,1.5999999999999999,20,XGB_Risk,moderate
2025-05-16,1029150.976907547,-0.010846419199868618,0.0012000000000000001,-0.012046419199868617,1.2000000000000002,20,XGB_Risk,moderate
2025-05-23,1027509.3516269523,-0.0007951258050860055,0.0008,-0.0015951258050860054,0.8,20,XGB_Risk,moderate
2025-05-30,1029714.4147365389,0.0025460272902577685,0.0004,0.0021460272902577683,0.4,20,XGB_Risk,moderate
2025-06-06,1021378.7299308918,-0.0076951423873967695,0.0004,-0.008095142387396769,0.4,20,XGB_Risk,moderate
2025-06-13,1041263.6791213304,0.020668732417977953,0.0012,0.019468732417977953,1.2,20,XGB_Risk,moderate
2025-06-20,1065591.696199835,0.02456393515524713,0.0012000000000000008,0.02336393515524713,1.2000000000000006,20,XGB_Risk,moderate
2025-06-27,1056219.6602162726,-0.007595147350514808,0.0012000000000000003,-0.008795147350514808,1.2000000000000004,20,XGB_Risk,moderate
2025-07-04,1061944.624176863,0.006220239914316972,0.0008,0.005420239914316971,0.8,20,XGB_Risk,moderate
2025-07-11,1059427.7337412809,-0.0007466940111171549,0.0016233829008811338,-0.002370076911998289,1.6233829008811338,20,XGB_Risk,moderate
2025-07-18,1034416.4795015051,-0.022408268353944827,0.0012000000000000001,-0.023608268353944827,1.2000000000000002,20,XGB_Risk,moderate
2025-07-25,1007369.781718058,-0.024946816412361517,0.0012000000000000001,-0.026146816412361516,1.2000000000000002,20,XGB_Risk,moderate
2025-08-01,1009287.1193358165,0.002703310633845213,0.0007999999999999999,0.001903310633845213,0.7999999999999999,20,XGB_Risk,moderate
2025-08-08,1042048.8735044999,0.0332602915672231,0.0007999999999999996,0.0324602915672231,0.7999999999999996,20,XGB_Risk,moderate
2025-08-18,1049345.5541034269,0.0078022441216096805,0.0008000000000000004,0.00700224412160968,0.8000000000000003,20,XGB_Risk,moderate
2025-08-25,1033248.2053178783,-0.01416110898085532,0.001179260759694381,-0.015340369740549701,1.179260759694381,20,XGB_Risk,moderate
2025-09-02,1022372.4938993155,-0.009725749149708807,0.0008,-0.010525749149708807,0.8,20,XGB_Risk,moderate
2025-09-09,1032442.5199858265,0.010249664526970959,0.00039999999999999964,0.00984966452697096,0.39999999999999963,20,XGB_Risk,moderate
2025-09-16,1020751.711499024,-0.009723447320789336,0.0015999999999999996,-0.011323447320789335,1.5999999999999996,20,XGB_Risk,moderate
2025-09-23,995557.0762096277,-0.023082432569617395,0.0016000000000000003,-0.024682432569617396,1.6000000000000003,20,XGB_Risk,moderate
2025-09-30,1036435.0311153341,0.04226038305843871,0.0012000000000000008,0.04106038305843871,1.2000000000000006,20,XGB_Risk,moderate
2025-10-08,1047335.535310601,0.01171730583009789,0.0012000000000000001,0.01051730583009789,1.2000000000000002,20,XGB_Risk,moderate
2025-10-15,1068167.3448414663,0.02149029191555818,0.0016,0.01989029191555818,1.6,20,XGB_Risk,moderate
2025-10-23,1067924.7106168845,0.0009728499885774955,0.0012000000000000008,-0.00022715001142250527,1.2000000000000006,20,XGB_Risk,moderate
2025-10-30,1032509.6477267762,-0.031562509058949306,0.0016,-0.033162509058949304,1.6,20,XGB_Risk,moderate
2025-11-07,1081828.0688091496,0.04873484851679821,0.0009692695791532096,0.047765578937645006,0.9692695791532095,20,XGB_Risk,moderate
2025-11-14,1089344.1094029737,0.008147537053736942,0.0012000000000000003,0.006947537053736941,1.2000000000000004,20,XGB_Risk,moderate
2025-11-21,1098018.24373229,0.008762712842014908,0.0007999999999999999,0.007962712842014908,0.7999999999999999,20,XGB_Risk,moderate
2025-11-28,1098560.4990709468,0.0016938491156701652,0.001200000000000001,0.0004938491156701642,1.2000000000000008,20,XGB_Risk,moderate
2025-12-05,1085033.6679810793,-0.01111323272710707,0.0012,-0.01231323272710707,1.2,20,XGB_Risk,moderate
2025-12-12,1082474.6769868827,-0.0015584438618925223,0.0008,-0.002358443861892522,0.8,20,XGB_Risk,moderate
2025-01-01,1014945.5126197067,0.01594551261970656,0.001,0.014945512619706558,1.0,20,XGB_Risk,aggressive
2025-01-08,994112.2811218863,-0.01932645313347614,0.0012,-0.02052645313347614,1.2,20,XGB_Risk,aggressive
2025-01-15,981548.3862210165,-0.011038305691879247,0.0016,-0.012638305691879247,1.6,20,XGB_Risk,aggressive
2025-01-22,953402.1465257852,-0.027475346106568432,0.0012,-0.028675346106568432,1.2,20,XGB_Risk,aggressive
2025-01-29,1000397.3879412842,0.05049214978878602,0.0012000000000000001,0.04929214978878602,1.2000000000000002,20,XGB_Risk,aggressive
2025-02-04,957909.6352048973,-0.04167087532267788,0.0008,-0.04247087532267788,0.8,20,XGB_Risk,aggressive
2025-02-11,946252.2796509285,-0.010969577510800743,0.0012,-0.012169577510800743,1.2,20,XGB_Risk,aggressive
2025-02-18,933324.6336494547,-0.012861944366720834,0.0008000000000000001,-0.013661944366720835,0.8000000000000002,20,XGB_Risk,aggressive
2025-02-25,932517.1760946665,0.0003348588415255094,0.0012,-0.0008651411584744905,1.2,20,XGB_Risk,aggressive
2025-03-05,940720.8249327627,0.009197316605419115,0.0004,0.008797316605419115,0.4,20,XGB_Risk,aggressive
2025-03-12,958337.252938172,0.0195265207046611,0.0008,0.0187265207046611,0.8,20,XGB_Risk,aggressive
2025-03-21,972336.1269146566,0.0158074609262715,0.0012,0.0146074609262715,1.2,20,XGB_Risk,aggressive
2025-03-28,937160.1014004863,-0.0353768163708863,0.0008,-0.0361768163708863,0.8,20,XGB_Risk,aggressive
2025-04-07,983832.3404908235,0.05140177775450594,0.0015999999999999996,0.04980177775450594,1.5999999999999996,20,XGB_Risk,aggressive
2025-04-16,1020816.1357293872,0.03879156282676477,0.0012,0.03759156282676477,1.2,20,XGB_Risk,aggressive
2025-04-24,1023040.9351893631,0.0037794321054558377,0.0016,0.002179432105455838,1.6,20,XGB_Risk,aggressive
2025-05-02,1023531.0575634503,0.001279083834506034,0.0008,0.000479083834506034,0.8,20,XGB_Risk,aggressive
2025-05-09,1043551.6383094467,0.021160306058182643,0.0015999999999999999,0.019560306058182642,1.5999999999999999,20,XGB_Risk,aggressive
2025-05-16,1030980.5778176615,-0.010846419199868618,0.0012000000000000001,-0.012046419199868617,1.2000000000000002,20,XGB_Risk,aggressive
2025-05-23,1029336.034093442,-0.0007951258050860055,0.0008,-0.0015951258050860054,0.8,20,XGB_Risk,aggressive
2025-05-30,1031545.0173134523,0.0025460272902577685,0.00040000000000000045,0.002146027290257768,0.4000000000000004,20,XGB_Risk,aggressive
2025-06-06,1023194.5135192903,-0.0076951423873967695,0.0004,-0.008095142387396769,0.4,20,XGB_Risk,aggressive
2025-06-13,1043114.8137145403,0.020668732417977953,0.0012,0.019468732417977953,1.2,20,XGB_Risk,aggressive
2025-06-20,1068575.4031343756,0.025608233000900427,0.0012,0.024408233000900427,1.2,20,XGB_Risk,aggressive
2025-06-27,1059177.125008673,-0.007595147350514808,0.0011999999999999997,-0.008795147350514808,1.1999999999999997,20,XGB_Risk,aggressive
2025-07-04,1064918.1191379766,0.006220239914316972,0.0008000000000000004,0.005420239914316971,0.8000000000000004,20,XGB_Risk,aggressive
2025-07-11,1062514.4484759269,-0.0006571412945769461,0.0015999999999999999,-0.002257141294576946,1.5999999999999999,20,XGB_Risk,aggressive
2025-07-18,1037430.3222463635,-0.022408268353944827,0.001200000000000001,-0.023608268353944827,1.2000000000000008,20,XGB_Risk,aggressive
2025-07-25,1010304.8220699708,-0.024946816412361517,0.0012,-0.026146816412361516,1.2,20,XGB_Risk,aggressive
2025-08-01,1012227.7459812417,0.002703310633845213,0.0008,0.001903310633845213,0.8,20,XGB_Risk,aggressive
2025-08-08,1045084.9537482259,0.0332602915672231,0.0008,0.0324602915672231,0.8,20,XGB_Risk,aggressive
2025-08-18,1052402.8937221922,0.0078022441216096805,0.0008,0.00700224412160968,0.8,20,XGB_Risk,aggressive
2025-08-25,1036257.2276681561,-0.01416376487133808,0.001177950882531755,-0.015341715753869835,1.1779508825317548,20,XGB_Risk,aggressive
