Date,IC,NStocks,Model
2023-12-21,-0.34736842105263155,20,RandomForest
2023-12-22,-0.18796992481203004,20,RandomForest
2023-12-26,0.2421052631578947,20,RandomForest
2023-12-27,0.18646616541353384,20,RandomForest
2023-12-28,-0.060150375939849614,20,RandomForest
2023-12-29,-0.009022556390977442,20,RandomForest
2024-01-01,0.006015037593984962,20,RandomForest
2024-01-02,0.19849624060150375,20,RandomForest
2024-01-03,0.37744360902255636,20,RandomForest
2024-01-04,0.24360902255639094,20,RandomForest
2024-01-05,0.13082706766917293,20,RandomForest
2024-01-08,0.006015037593984962,20,RandomForest
2024-01-09,0.23909774436090225,20,RandomForest
2024-01-10,0.010526315789473682,20,RandomForest
2024-01-11,-0.03308270676691729,20,RandomForest
2024-01-12,-0.1413533834586466,20,RandomForest
2024-01-15,-0.11278195488721804,20,RandomForest
2024-01-16,-0.193984962406015,20,RandomForest
2024-01-17,-0.07969924812030074,20,RandomForest
2024-01-18,0.004511278195488721,20,RandomForest
2024-01-19,-0.20601503759398496,20,RandomForest
2024-01-23,-0.021052631578947364,20,RandomForest
2024-01-24,0.05563909774436089,20,RandomForest
2024-01-25,0.024060150375939848,20,RandomForest
2024-01-29,-0.0631578947368421,20,RandomForest
2024-01-30,-0.06917293233082707,20,RandomForest
2024-01-31,0.06466165413533834,20,RandomForest
2024-02-01,-0.19248120300751878,20,RandomForest
2024-02-02,0.03609022556390977,20,RandomForest
2024-02-05,0.23909774436090225,20,RandomForest
2024-02-06,-0.23759398496240602,20,RandomForest
2024-02-07,-0.18045112781954886,20,RandomForest
2024-02-08,-0.3969924812030075,20,RandomForest
2024-02-09,-0.25112781954887214,20,RandomForest
2024-02-12,-0.009022556390977442,20,RandomForest
2024-02-13,0.23458646616541348,20,RandomForest
2024-02-14,-0.35187969924812035,20,RandomForest
2024-02-15,-0.016541353383458645,20,RandomForest
2024-02-16,-0.20150375939849624,20,RandomForest
2024-02-19,-0.6526315789473683,20,RandomForest
2024-02-20,-0.5533834586466165,20,RandomForest
2024-02-21,-0.29624060150375936,20,RandomForest
2024-02-22,-0.3699248120300751,20,RandomForest
2024-02-23,-0.3443609022556391,20,RandomForest
2024-02-26,-0.37744360902255636,20,RandomForest
2024-02-27,-0.35037593984962395,20,RandomForest
2024-02-28,-0.33233082706766914,20,RandomForest
2024-02-29,-0.2541353383458646,20,RandomForest
2024-03-01,-0.3082706766917293,20,RandomForest
2024-03-04,-0.0015037593984962405,20,RandomForest
2024-03-05,0.30977443609022554,20,RandomForest
2024-03-06,0.051127819548872175,20,RandomForest
2024-03-07,0.09323308270676692,20,RandomForest
2024-03-11,0.05413533834586466,20,RandomForest
2024-03-12,0.29774436090225564,20,RandomForest
2024-03-13,0.29473684210526313,20,RandomForest
2024-03-14,0.21804511278195485,20,RandomForest
2024-03-15,0.07518796992481201,20,RandomForest
2024-03-18,0.18646616541353384,20,RandomForest
2024-03-19,0.022556390977443608,20,RandomForest
2024-03-20,-0.45714285714285713,20,RandomForest
2024-03-21,-0.593984962406015,20,RandomForest
2024-03-22,-0.41804511278195483,20,RandomForest
2024-03-26,0.08120300751879699,20,RandomForest
2024-03-27,0.29323308270676685,20,RandomForest
2024-03-28,0.05563909774436089,20,RandomForest
2024-04-01,-0.1639097744360902,20,RandomForest
2024-04-02,0.37744360902255636,20,RandomForest
2024-04-03,0.13984962406015036,20,RandomForest
2024-04-04,0.4872180451127819,20,RandomForest
2024-04-05,0.3383458646616541,20,RandomForest
2024-04-08,0.29323308270676685,20,RandomForest
2024-04-09,-0.02857142857142857,20,RandomForest
2024-04-10,-0.23909774436090225,20,RandomForest
2024-04-12,-0.4195488721804511,20,RandomForest
2024-04-15,0.003007518796992481,20,RandomForest
2024-04-16,-0.04661654135338346,20,RandomForest
2024-04-18,-0.05864661654135337,20,RandomForest
2024-04-19,0.33082706766917286,20,RandomForest
2024-04-22,-0.35939849624060144,20,RandomForest
2024-04-23,-0.4300751879699248,20,RandomForest
2024-04-24,-0.5142857142857143,20,RandomForest
2024-04-25,-0.07518796992481201,20,RandomForest
2024-04-26,-0.24360902255639094,20,RandomForest
2024-04-29,-0.006015037593984962,20,RandomForest
2024-04-30,-0.29172932330827067,20,RandomForest
2024-05-02,-0.07969924812030074,20,RandomForest
2024-05-03,0.11578947368421053,20,RandomForest
2024-05-06,0.03157894736842105,20,RandomForest
2024-05-07,-0.02706766917293233,20,RandomForest
2024-05-08,0.2120300751879699,20,RandomForest
2024-05-09,0.06466165413533834,20,RandomForest
2024-05-10,0.09172932330827067,20,RandomForest
2024-05-13,-0.10526315789473684,20,RandomForest
2024-05-14,-0.08721804511278194,20,RandomForest
2024-05-15,0.060150375939849614,20,RandomForest
2024-05-16,0.0,20,RandomForest
2024-05-17,-0.19849624060150375,20,RandomForest
2024-05-21,0.13233082706766916,20,RandomForest
2024-05-22,0.16691729323308271,20,RandomForest
2024-05-23,-0.08872180451127819,20,RandomForest
2024-05-24,-0.22406015037593985,20,RandomForest
2024-05-27,-0.7744360902255639,20,RandomForest
2024-05-28,0.38947368421052625,20,RandomForest
2024-05-29,0.05714285714285714,20,RandomForest
2024-05-30,0.5142857142857143,20,RandomForest
2024-05-31,0.5488721804511278,20,RandomForest
2024-06-03,0.28421052631578947,20,RandomForest
2024-06-04,0.17142857142857143,20,RandomForest
2024-06-05,0.47518796992481205,20,RandomForest
2024-06-06,-0.010526315789473682,20,RandomForest
2024-06-07,0.2992481203007519,20,RandomForest
2024-06-10,0.5007518796992482,20,RandomForest
2024-06-11,0.12932330827067667,20,RandomForest
2024-06-12,0.1744360902255639,20,RandomForest
2024-06-13,0.03609022556390977,20,RandomForest
2024-06-14,-0.04962406015037594,20,RandomForest
2024-06-18,-0.21654135338345865,20,RandomForest
2024-06-19,0.15939849624060148,20,RandomForest
2024-06-20,0.25112781954887214,20,RandomForest
2024-06-21,-0.07218045112781954,20,RandomForest
2024-06-24,-0.05263157894736842,20,RandomForest
2024-06-25,0.21353383458646616,20,RandomForest
2024-06-26,-0.048120300751879695,20,RandomForest
2024-06-27,0.12932330827067667,20,RandomForest
2024-06-28,0.016541353383458645,20,RandomForest
2024-07-01,-0.10676691729323308,20,RandomForest
2024-07-02,-0.41353383458646614,20,RandomForest
2024-07-03,0.006015037593984962,20,RandomForest
2024-07-04,0.024060150375939848,20,RandomForest
2024-07-05,-0.20300751879699244,20,RandomForest
2024-07-08,-0.14436090225563908,20,RandomForest
2024-07-09,-0.012030075187969924,20,RandomForest
2024-07-10,0.037593984962406006,20,RandomForest
2024-07-11,0.006015037593984962,20,RandomForest
2024-07-12,0.13233082706766916,20,RandomForest
2024-07-15,-0.08721804511278194,20,RandomForest
2024-07-16,-0.11127819548872178,20,RandomForest
2024-07-18,-0.10075187969924812,20,RandomForest
2024-07-19,-0.019548872180451125,20,RandomForest
2024-07-22,-0.05413533834586466,20,RandomForest
2024-07-23,-0.1894736842105263,20,RandomForest
2024-07-24,-0.14285714285714285,20,RandomForest
2024-07-25,0.2601503759398496,20,RandomForest
2024-07-26,0.17593984962406017,20,RandomForest
2024-07-29,-0.04360902255639097,20,RandomForest
2024-07-30,0.13383458646616542,20,RandomForest
2024-07-31,-0.12180451127819547,20,RandomForest
2024-08-01,-0.0706766917293233,20,RandomForest
2024-08-02,-0.02706766917293233,20,RandomForest
2024-08-05,-0.10977443609022557,20,RandomForest
2024-08-06,-0.03909774436090225,20,RandomForest
2024-08-07,0.045112781954887216,20,RandomForest
2024-08-08,-0.06165413533834586,20,RandomForest
2024-08-09,-0.11428571428571428,20,RandomForest
2024-08-12,-0.06616541353383458,20,RandomForest
2024-08-13,0.060150375939849614,20,RandomForest
2024-08-14,0.13984962406015036,20,RandomForest
2024-08-16,0.15037593984962402,20,RandomForest
2024-08-19,0.30526315789473685,20,RandomForest
2024-08-20,0.22406015037593985,20,RandomForest
