Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Strategy,RiskProfile,CostBps
2025-02-04,966942.6290777863,-0.030699571853591956,0.001224616400565848,-0.03188659305497554,1.224616400565848,10,XGB_Risk,aggressive,10.0
2025-02-11,954729.7425069731,-0.011036928804373014,0.0016112695432773908,-0.012630414880416607,1.611269543277391,10,XGB_Risk,aggressive,10.0
2025-02-18,941678.3951650127,-0.012880505258837993,0.0008,-0.013670200854630998,0.8,10,XGB_Risk,aggressive,10.0
2025-02-25,944948.9291095609,0.004681822147399206,0.00120309931542353,0.0034730901349553367,1.2030993154235299,10,XGB_Risk,aggressive,10.0
2025-03-05,953261.8944160327,0.009221773663606658,0.0004206305865221049,0.008797264117019754,0.42063058652210494,10,XGB_Risk,aggressive,10.0
2025-03-12,971048.6700742159,0.019492292518945575,0.0008175023218295809,0.018658855202724034,0.8175023218295809,10,XGB_Risk,aggressive,10.0
2025-03-21,985023.6910877413,0.015610411762320142,0.0011999999999999997,0.014391679268205282,1.1999999999999997,10,XGB_Risk,aggressive,10.0
2025-03-28,949467.0806192727,-0.03531872458993468,0.000806990783851597,-0.03609721348854478,0.8069907838515971,10,XGB_Risk,aggressive,10.0
2025-04-07,1009211.0808900055,0.06465222603746423,0.0016235409826908945,0.06292371951617937,1.6235409826908944,10,XGB_Risk,aggressive,10.0
2025-04-16,1039072.5302210755,0.030850994180107172,0.0012243191694833444,0.02958890354705157,1.2243191694833446,10,XGB_Risk,aggressive,10.0
2025-04-24,1041392.3676023358,0.0038387458914108663,0.0015999999999999996,0.0022326038979845197,1.5999999999999996,10,XGB_Risk,aggressive,10.0
2025-05-02,1020406.1808768099,-0.01897218556511715,0.0012026776956287275,-0.020152045836329457,1.2026776956287275,10,XGB_Risk,aggressive,10.0
2025-05-09,1044671.4222152935,0.02542779784408178,0.001606953836722061,0.02377998271005488,1.606953836722061,10,XGB_Risk,aggressive,10.0
2025-05-16,1034418.6092112251,-0.008210489454272496,0.001617178607765969,-0.009814390234133774,1.6171786077659691,10,XGB_Risk,aggressive,10.0
